Opinion;Rating
Rand is a great, reluctant hero. He is relatable and real. Jordan is part of a handful of fantasy authors who have changed the genre for all those who follow, contributing to the realm of what I call realistic fantasy. The mythic is not as prevalent as the real, which takes the story and draws it in tighter, gripping the reader even tighter. There are still clear comparisons with Tolkien, a female Gandalf-like character, etc., but allows the reader to see inside what Tolkien shrouded in legend. Highly recommended!;positive
Better the 2nd time around This was a reread for me, and it does not disappoint! I pick up so many things the second time, providing more understanding and enjoyment. Truly epic fantasy, yet relatable in the characters and their actions. Ideals and legends that are at once foreign and familiar. Looking forward to rereading the rest of the series.;positive
Great book. On to the next...;positive
Didn't read it but just from the description i'm seeing some lines from Tolkiens works which is really sad;positive
Hooked by page 20!;negative
I love this way of being another world. He EXPLAINS more than some authors do. There is never any dull moments of reading page on page of someone just THINKING! Love this and will continue to read the series!;positive
Good read. Moving on the next book.;positive
Memories Thank you  Thank you;positive
A fantastic intro to a truly amazing series and world, as well as an excellent and engaging story in its own right.;positive
This is probably the best first novel in an epic series of this magnitude. Beautiful.;positive
Good easy read.;positive
Aside from Tolkien's writings this is the best series I have ever read.;positive
An excellent openning novel to the wheel of time series;positive
I first heard of this series after getting hooked on Brandon Sanderson's books. After reading, literally, every singlebook;positive
Once you start this series, it reels you in until you finish the very last book!!;positive
See above.;positive
I loved this book its so goooooood:);positive
I love this series and this book is why. A great start to a great series.;positive
You people are giving up on the sample!!!!!!!!!!!!;positive
2000 pages. Robert really needed a better editor. Takes way to long to get from A to B. Then at one point the characters explain that they are given something in their travels, in the next chapter he explains in detail how the characters get this item. In detail, great detail. I think is a good story but needed to be cut back.;positive
"Don't be fooled; this book is not for the faint of heart. The Wheel of Time series falls nothing short of epic fantasy, so be prepared for a long, winding story with small details usually told at a snail's pace. But if you have the stomach for that, do not hesitate to buy The Eye of the World. It is an excellent adventure with interesting characters, and I can't wait to read book #2!";negative
"Since the mid/late 90s I've always been drawn to Robert Jordan's Wheel of Time series because of Darrell K. Sweet's distinctive cover art that has set the series apart from other fantasy titles. It wasn't until recently that I decided to look inside those covers, but after reading The Eye of the World I wish I had sooner. The slow-to-moderate pace at the beginning of the book by Jordan shows the layback lifestyle of the Two Rivers region of his world where the majority of his characters come from. Once the action hits the road, the action picks up to a furious pace that only relaxes when the group comes to rest at towns that grow progressively larger. When the group is forced to split up, Jordan takes the opportunity to give an enlarged view of the world he's created as well as give better character development as the narration expanded from just one character's point-of-view to three. Throughout the story, from the prologue to the climax, the significance and use of magical &amp;quot;One Power&amp;quot; is expanded upon by Jordan as well as it's implications. Those implications result in how characters interaction with one another, especially when it comes to gender roles compared to other fantasy stories. And the end of the book these implications of the use of the One Power provide set up for future books. One last point is how Jordan misdirects who the ultimate villian(s) are at the climax of the book, including during the book's end game. Several aspects of the evil side of Jordan's world were exposed, though not explored in-depth, but well enough to give the reader a sense of what the protagonists are up against. On it's own The Eye of the World is a great story. But as the first book in what will turn out to be a 14 book series, it's introduce just enough to want you to come back to see what else will happen. Like I've in the title and first paragraph, I should have read this book sooner.";positive
I started reading the series when it first came out going to book store to get my reserved copy. I started rereading the series and much to my dismay my original trade copy of the first book is MIA. Found all of the other books easily as I have them boxed up to protect from pets. Purchased the eBook and it appears to be exactly like my original copy. The settings and background for the main characters and sites are basically told in the first book. The reasons for the different attitudes and customs are also outlined. This story springs adventure into your mind that you can almost touch and feel as it progresses. Hope you enjoy the series as much as I do, as I am rereading it again.;positive
"First off, the rating I give here is for the series, this particular book gets 4 stars. To start with, this series is my all-time favorite book series of all time.  This review I am doing focuses on the series, not the first book.  Anyways, let's begin.         The plot for the series is INCREDIBLY good! The first book IS confusing due to all of the necessary character introductions and plot development, but once the series gets going the plot develops into (in my personal opinion) into something as, if not more than, rich and complex as &amp;quot;The Game of Thrones&amp;quot;.  The story in itself is also gripping, with so many twists and turns you don't know what to expect.         Secondly, the author's writing style is fantastic.  He describes the scenes so vividly, starting from the general area view and going down to the color of the dress of the lady walking by.  The author weaves a brilliant tapestry of the story in your minds eye, allowing you to experience the story rather than simply read it.         The characterization in the series is also great.  There isn't a single &amp;quot;cheesy&amp;quot; or &amp;quot;Mary Sue&amp;quot; character in the whole series (and there are a LOT of characters).  The antagonists always seem to have a real reason for their evils, many times disturbingly close to making sense to you, and the protagonists aren't invincible, and have their own dark sides to explore.  And the series never sticks with one main character, but constantly bounces between characters, leaving you to wonder what the others might be doing.         This series also strikes a beautiful balance between happy and sad, uplifting and depressing.  The &amp;quot;good guys&amp;quot; don't always win here, even when you know they should.  It really keeps you on your toes, never knowing just how the event will turn out.         Also, the magic and lore in the series is wonderful.  The system and type of magic in the series is rather original and complex, and the lore in the series that the author creates is deep and interesting.         And finally, this series is HUGE! To get an idea of how huge it is, the average book in this series is around 750 pages.  And there are 14 books, for an astounding 10,500 pages of reading.  Yeah... that ought to keep you busy for a while! And it also allows you get connect more and more with the series and its characters, while sadly ruling out the possibility of movies off of this series :-(. So, what are you waiting for! Get reading!";positive
Time and again the characters make obviously stupid decisions, If they are told not to do something they will of course ignore the advice and do it anyway, Happens the entire book, I found the whole thing entirely predictable,;positive
My freinds( who are adults although i am twelve) got me hooked on this seires. They had me read the new spring first because it explains a lot about moriane and lan. They loved this series so much that they named there only child after the golden eyed boy/young man Perrin. Its full of action and adventure. An amazing read.;negative
I have loved these books for years!;positive
I really wanted to like this series, and I seldom stop reading a book once I've started, but this one I put down. I just did not get engaged with the characters. I felt bored. Maybe because I was so enamored with the Game of Thrones series, and this one just did not measure up.;positive
A rich world of believeable cultures and unbelievable story telling.;negative
I was pleasantly surprised that the 1st 3 books of this series can be enjoyed by an age range from middle school (high readers) on up. That is a rarity. I'm usually bored by all ages books. Not this time.;positive
Highly recommended;positive
Love this series!;positive
"This book was amazing, what can i say? Some people have trouble getting into the series. The first time i read this book i found it good, but not fascinating. The second time i was enthralled. just give it a chance. get through this one and it all gets better from there. The cool thing is that throughout the first few books there are some cool references to lord of the rings, like a tavern named &amp;quot;the nine rings&amp;quot;. This series is AWESOME.";positive
Did a great job sucking me into a long series;positive
My favorite character.;positive
You know, the problem with epic fantasy is that it's a huge time commitment. And this one was a huge commitment indeed, taking me over a month and a half to read.  It was worth it, though. The characters are rich and vibrant, the descriptions are incredible, and the story is pretty good. I've read a few books which people have said are derivative of The Eye of the World, but I didn't believe them at the time. In this story, though, I see so many concepts which I've read before, which is a pity because I read them in books published well after this little gem.  I'll definitely be reading the rest of the series, but maybe not any more this year!;positive
Robert Jordan has brought us a new world, and a new era for us Sci-Fi geeks to be part of. The new series (well, new to me of course) The Wheel of Time has brought us the usual good versus evil battle that we loved in Lord of the Rigns and tons of action but is also fills our minds with magic, history, politics that we have never seen or heard of before, sociology, cultural background and realistic characters that could pop out of the page if they had a mind to.  A story that starts with a peaceful village with peaceful townsfolk ends with a mystic challenge that no one was ready for! A must read!!!;positive
The Wheel weaved as it did, and it led me to this amazing book. I was looking through the sappy books in the Teen section trying to find a book for my trip to Spain that would keep me entertained for a while, and found this one. This book was so good, and had a plot that was kept solid through all 700 pages. I would recommend this one to anyone, because yes, it is deffinetly one of my favorites.;positive
There are maybe a handful iof times i can not finish a book . This series was pitched to me as Hatry Potter meets LOTR. It was neither of the two. Not only was it painfully dull,the dialouge was weak and the endless divvel about the land that NEVER seemed to tie in. I know you are saying,but what about Toilken, he used so much detail in his writing. Yes he did but it all tied back to what he was saying. I got about three quarters into this travesty and just could NOT go on. Reader beware;positive
The adventure is awesome.;negative
Great story, lots of detail. I will have to re-read it to get all of the details. My spouse and I enjoyed this book, and we are waaay over teenagers. So we recommend it for all ages.;positive
For the last book to be published before I found this series. I loved it. It was different and well written. I was annoyed by the constant male vs female banter but even with that the author left something great. RIP and thank you.;positive
This is probably the best series i've ever read. Even though i'm a huge harry potter fan, i would say this series is still alot better.;positive
Amazing book! First 600 pages were very slow, but trust me, stick with it and you won't be disappointed. Second book is even better.;positive
One of my favorite series.;positive
I haven't read it yet, but so far the only bad things I've heard about it come from annoying feminists who can't get over the fact that the women aren't immoral or are stupid. ;positive
Good fantasy book. A little slow at times. I was disappointed in the female characters. I felt as if the author thought that a woman couldn't be both strong and likable. Hopefully, the women will become more likable as the series progresses.;positive
I started reading this series when I was 15 and finally it has come to a conclusin and I'm now 35... and I absolutely loved it so much that I have read all 14 books 3 times! It gets better every time!!;positive
The ebook version is my fourth time reading this book and still excites me. There is character building more in this book than any other but you will have a hard time not wanting to read the rest. The whole series is such an epic adventure and the final book does not disapoint. This book barely touches the extent the series goes through.;positive
Starts out slow but has u reaching for the next book;positive
Great fantasy start;positive
V;positive
.;3
Even second time around it feels fresh as ever can't wait to read the great hunt!;positive
While the world Jordan built is impressive and very detailed, I never felt attatched to the characters. They became more annoying as the story continued and I found myself wanting them and their thoughts to cease. I actually enjoyed the parts that didn't have character dialogue and interaction. I'm fine with ending this series with this book as it gave me plenty of backstory and a good peek into this world. Let the trio do what they must, I'm not interested in joining them on their journey.;positive
I was introduced to Wheel of Time by a fellow student back in 7th Grade in Ada, Ohio. I picked a copy of The Eye of the World up later and couldn't put it down. It is now almost ten years later and I still love this book series by Robert Jordan. To describe the Wheel of Time, one should use references to famous fantasy authors like (Obviously) JRR Tolkein, Edgar Rice Burroughs, Brian Jacques, CS Lewis, L Frank Baum, Terry Brooks, Terry Goodkind, and Stephen King. An epic hero's journey through a vibrant and realistic magical world, The Eye of the World is a fun novel to read. It is, much Guillermo del Toro's Pan's Labyrinth has been called by critics, 'A Faerie Tale for Grownups.' The style of Robert Jordan is similar to Tolkein, but it also has a feel of a traditional Michener and Stephen King's Dark Tower saga mixed in. It is a tad bit bloody and darker than Lord of the Rings, though, and the dialogue is almost Shakespearean at times. Also, the main character, Rand al'Thor, is more than a bit whiny, sometimes an idiot, and at most times, a pathetic loser who has trouble seeing the big picture. Aside from that point, the Eye of the World is a wonderful addition to anyone's library, whether it is on a Nook, iPad, Kindle, or a real Bookshelf.;3
This is a really good book, but it is very long.;positive
Great series!;positive
"The writing is very wordy and extremely detailed. At times it can be very tedius however its worth it. The setting reminds me of the fellowship of the ring series. Especially the Hobbit. The characters are very well rounded and its easy to get attached to some of them while despising others. Rand is on the run from evil with a few friends from his home village with a few new friends they meet on the way. Eventually, they get seperated while each character gets to expiernce the kind of adventure they only hear about in fables. Learning what it really means to be a hero, suffering nightmares from the very evil tormentors chasing the down while sending assasins, messengers, and even cruel creatures to eliminate them. Homesick, hungary, cold and scared; our heroes keep pushing forward, unwilling to give up so easily. Insanely unpredictable at times which is a quality I value in any novel. No one, who truely loves fantasy, will regret reading this!";positive
"This is my top 1 or 2 series. I have read alot and this has taken the top spots. This series is sometimes predictable and sometimes you never see it coming. I started in middle school did my best to read every book already out and then cursed fate that I didn't start it years later when it was finished. To all book lovers, start this series and you will be adicted to yet another series, so good luck and I hope you aren't fireed from work from never being able to put this series down. :) ;)";positive
I absolutely love this entire series! Although the first two or three books do involve some tedious characterization, the action involved makes it well worth the effort to get through! I picked the first book up at the recommendation of a friend, and I couldn't stop reading the series until I finished every book!;positive
Lol lol trolol that is a good book for ANYONE!!!!!!!! U MUST READ 'THE WHEEL O' TIME SERIES!' IT IS AWESOME! ok, seirously, it is a good book. It has nice flow and good description.;positive
The descriptive writing of the world Jordan creates is very good, but it is hindered by a droning pace that tends to get repetitive. There's nothing wrong with a lengthy book, but The Eye of the World's length doesn't warrant it's length. Especially considering there's 10+ books in the series.;positive
